Time,I(L1),I(R1),Ii,Io,Vo,Vi,Vgate,VD1,VD2,Vind,Vq1
0.100001,8.45912,2.50974,8.45912,2.50974,24.0935,10,1,9.99991,8.45913e-005,9.99982,8.45912e-005
0.100002,8.46367,2.50895,8.46367,2.50895,24.0859,10,1,9.99991,8.46367e-005,9.99982,8.46367e-005
0.100003,8.46821,2.50816,8.46822,2.50816,24.0783,10,1,9.99991,8.46822e-005,9.99982,8.46822e-005
0.100004,8.47276,2.50737,8.47276,2.50737,24.0707,10,1,9.99991,8.47276e-005,9.99982,8.47276e-005
0.100005,8.47731,2.50658,8.47731,2.50658,24.0631,10,1,9.99991,8.47731e-005,9.99982,8.47731e-005
0.100006,8.48185,2.50579,8.48185,2.50579,24.0555,10,1,9.99991,8.48185e-005,9.99982,8.48185e-005
0.100007,8.4864,2.505,8.4864,2.505,24.048,10,1,9.99991,8.4864e-005,9.99982,8.4864e-005
0.100008,8.49094,2.5042,8.49094,2.5042,24.0404,10,1,9.99991,8.49094e-005,9.99982,8.49094e-005
0.100009,8.49549,2.50341,8.49549,2.50341,24.0328,10,1,9.99991,8.49549e-005,9.99982,8.49549e-005
0.10001,8.50003,2.50262,8.50003,2.50262,24.0252,10,1,9.99991,8.50003e-005,9.99982,8.50003e-005
0.100011,8.50458,2.50183,8.50458,2.50183,24.0176,10,1,9.99991,8.50458e-005,9.99982,8.50458e-005
0.100012,8.50912,2.50104,8.50912,2.50104,24.01,10,1,9.99991,8.50913e-005,9.99982,8.50912e-005
0.100013,8.51367,2.50026,8.51367,2.50026,24.0025,10,1,9.99991,8.51367e-005,9.99982,8.51367e-005
0.100014,8.51821,2.49947,8.51821,2.49947,23.9949,10,1,9.99991,8.51822e-005,9.99982,8.51821e-005
0.100015,8.52276,2.49868,8.52276,2.49868,23.9873,10,1,9.99991,8.52276e-005,9.99982,8.52276e-005
0.100016,8.5273,2.49789,8.52731,2.49789,23.9797,10,1,9.99991,8.52731e-005,9.99982,8.52731e-005
0.100017,8.53185,2.4971,8.53185,2.4971,23.9722,10,1,9.99991,8.53185e-005,9.99982,8.53185e-005
0.100018,8.5364,2.49631,8.5364,2.49631,23.9646,10,1,9.99991,8.5364e-005,9.99982,8.5364e-005
0.100019,8.54094,2.49552,8.54094,2.49552,23.957,10,1,9.99991,8.54094e-005,9.99982,8.54094e-005
0.10002,8.54549,2.49474,8.54549,2.49474,23.9495,10,1,9.99991,8.54549e-005,9.99982,8.54549e-005
0.100021,8.55003,2.49395,8.55003,2.49395,23.9419,10,1,9.99991,8.55003e-005,9.99982,8.55003e-005
0.100022,8.55458,2.49316,8.55458,2.49316,23.9344,10,1,9.99991,8.55458e-005,9.99982,8.55458e-005
0.100023,8.55912,2.49238,8.55912,2.49238,23.9268,10,1,9.99991,8.55912e-005,9.99982,8.55912e-005
0.100024,8.55647,2.49285,9.98313e-007,2.49285,23.9314,10,0,-8.55647e-005,23.9314,-23.9315,10.0001
0.100025,8.54559,2.49476,9.98313e-007,2.49476,23.9497,10,0,-8.54558e-005,23.9498,-23.9499,10.0001
0.100026,8.5347,2.49667,9.98313e-007,2.49667,23.968,10,0,-8.53469e-005,23.9681,-23.9682,10.0001
0.100027,8.5238,2.49857,9.98313e-007,2.49857,23.9863,10,0,-8.5238e-005,23.9864,-23.9865,10.0001
0.100028,8.51289,2.50047,9.98313e-007,2.50047,24.0045,10,0,-8.51289e-005,24.0046,-24.0047,10.0001
0.100029,8.50197,2.50237,9.98313e-007,2.50237,24.0227,10,0,-8.50197e-005,24.0228,-24.0229,10.0001
0.10003,8.49105,2.50426,9.98313e-007,2.50426,24.0409,10,0,-8.49105e-005,24.041,-24.0411,10.0001
0.100031,8.48012,2.50615,9.98313e-007,2.50615,24.059,10,0,-8.48012e-005,24.0591,-24.0592,10.0001
0.100032,8.46918,2.50803,9.98313e-007,2.50803,24.0771,10,0,-8.46918e-005,24.0772,-24.0773,10.0001
0.100033,8.45823,2.50991,9.98313e-007,2.50991,24.0951,10,0,-8.45823e-005,24.0952,-24.0953,10.0001
0.100034,8.45761,2.51001,8.45761,2.51001,24.0961,10,1,9.99991,8.45761e-005,9.99982,8.45761e-005
0.100035,8.46215,2.50922,8.46215,2.50922,24.0885,10,1,9.99991,8.46216e-005,9.99982,8.46215e-005
0.100036,8.4667,2.50842,8.4667,2.50842,24.0809,10,1,9.99991,8.4667e-005,9.99982,8.4667e-005
0.100037,8.47124,2.50763,8.47125,2.50763,24.0733,10,1,9.99991,8.47125e-005,9.99982,8.47125e-005
0.100038,8.47579,2.50684,8.47579,2.50684,24.0657,10,1,9.99991,8.47579e-005,9.99982,8.47579e-005
0.100039,8.48034,2.50605,8.48034,2.50605,24.0581,10,1,9.99991,8.48034e-005,9.99982,8.48034e-005
0.10004,8.48488,2.50526,8.48488,2.50526,24.0505,10,1,9.99991,8.48488e-005,9.99982,8.48488e-005
0.100041,8.48943,2.50447,8.48943,2.50447,24.0429,10,1,9.99991,8.48943e-005,9.99982,8.48943e-005
0.100042,8.49397,2.50368,8.49397,2.50368,24.0353,10,1,9.99991,8.49397e-005,9.99982,8.49397e-005
0.100043,8.49852,2.50289,8.49852,2.50289,24.0277,10,1,9.99991,8.49852e-005,9.99982,8.49852e-005
0.100044,8.50306,2.5021,8.50306,2.5021,24.0201,10,1,9.99991,8.50306e-005,9.99982,8.50306e-005
0.100045,8.50761,2.50131,8.50761,2.50131,24.0126,10,1,9.99991,8.50761e-005,9.99982,8.50761e-005
0.100046,8.51215,2.50052,8.51215,2.50052,24.005,10,1,9.99991,8.51216e-005,9.99982,8.51215e-005
0.100047,8.5167,2.49973,8.5167,2.49973,23.9974,10,1,9.99991,8.5167e-005,9.99982,8.5167e-005
0.100048,8.52124,2.49894,8.52124,2.49894,23.9898,10,1,9.99991,8.52125e-005,9.99982,8.52124e-005
0.100049,8.52579,2.49815,8.52579,2.49815,23.9823,10,1,9.99991,8.52579e-005,9.99982,8.52579e-005
0.10005,8.53033,2.49736,8.53034,2.49736,23.9747,10,1,9.99991,8.53034e-005,9.99982,8.53034e-005
0.100051,8.53488,2.49657,8.53488,2.49657,23.9671,10,1,9.99991,8.53488e-005,9.99982,8.53488e-005
0.100052,8.53942,2.49579,8.53943,2.49579,23.9596,10,1,9.99991,8.53943e-005,9.99982,8.53943e-005
0.100053,8.54397,2.495,8.54397,2.495,23.952,10,1,9.99991,8.54397e-005,9.99982,8.54397e-005
0.100054,8.54852,2.49421,8.54852,2.49421,23.9444,10,1,9.99991,8.54852e-005,9.99982,8.54852e-005
0.100055,8.55306,2.49342,8.55306,2.49342,23.9369,10,1,9.99991,8.55306e-005,9.99982,8.55306e-005
0.100056,8.55761,2.49264,8.55761,2.49264,23.9293,10,1,9.99991,8.55761e-005,9.99982,8.55761e-005
0.100057,8.5601,2.49221,9.98313e-007,2.49221,23.9252,10,0,-8.5601e-005,23.9253,-23.9254,10.0001
0.100058,8.54922,2.49412,9.98313e-007,2.49412,23.9436,10,0,-8.54921e-005,23.9437,-23.9438,10.0001
0.100059,8.53833,2.49603,9.98313e-007,2.49603,23.9619,10,0,-8.53833e-005,23.962,-23.9621,10.0001
0.10006,8.52743,2.49794,9.98313e-007,2.49794,23.9802,10,0,-8.52743e-005,23.9803,-23.9804,10.0001
0.100061,8.51653,2.49984,9.98313e-007,2.49984,23.9985,10,0,-8.51653e-005,23.9986,-23.9986,10.0001
0.100062,8.50561,2.50174,9.98313e-007,2.50174,24.0167,10,0,-8.50561e-005,24.0168,-24.0168,10.0001
0.100063,8.49469,2.50363,9.98313e-007,2.50363,24.0349,10,0,-8.49469e-005,24.0349,-24.035,10.0001
0.100064,8.48376,2.50552,9.98313e-007,2.50552,24.053,10,0,-8.48376e-005,24.0531,-24.0532,10.0001
0.100065,8.47283,2.5074,9.98313e-007,2.5074,24.0711,10,0,-8.47283e-005,24.0712,-24.0713,10.0001
0.100066,8.46188,2.50929,9.98313e-007,2.50929,24.0891,10,0,-8.46188e-005,24.0892,-24.0893,10.0001
0.100067,8.45609,2.51027,8.4561,2.51027,24.0986,10,1,9.99991,8.4561e-005,9.99982,8.4561e-005
0.100068,8.46064,2.50948,8.46064,2.50948,24.091,10,1,9.99991,8.46064e-005,9.99982,8.46064e-005
0.100069,8.46519,2.50869,8.46519,2.50869,24.0834,10,1,9.99991,8.46519e-005,9.99982,8.46519e-005
0.10007,8.46973,2.5079,8.46973,2.5079,24.0758,10,1,9.99991,8.46973e-005,9.99982,8.46973e-005
0.100071,8.47428,2.50711,8.47428,2.50711,24.0682,10,1,9.99991,8.47428e-005,9.99982,8.47428e-005
0.100072,8.47882,2.50631,8.47882,2.50631,24.0606,10,1,9.99991,8.47882e-005,9.99982,8.47882e-005
0.100073,8.48337,2.50552,8.48337,2.50552,24.053,10,1,9.99991,8.48337e-005,9.99982,8.48337e-005
0.100074,8.48791,2.50473,8.48791,2.50473,24.0454,10,1,9.99991,8.48791e-005,9.99982,8.48791e-005
0.100075,8.49246,2.50394,8.49246,2.50394,24.0378,10,1,9.99991,8.49246e-005,9.99982,8.49246e-005
0.100076,8.497,2.50315,8.497,2.50315,24.0303,10,1,9.99991,8.49701e-005,9.99982,8.497e-005
0.100077,8.50155,2.50236,8.50155,2.50236,24.0227,10,1,9.99991,8.50155e-005,9.99982,8.50155e-005
0.100078,8.50609,2.50157,8.50609,2.50157,24.0151,10,1,9.99991,8.5061e-005,9.99982,8.50609e-005
0.100079,8.51064,2.50078,8.51064,2.50078,24.0075,10,1,9.99991,8.51064e-005,9.99982,8.51064e-005
0.10008,8.51518,2.49999,8.51519,2.49999,23.9999,10,1,9.99991,8.51519e-005,9.99982,8.51519e-005
0.100081,8.51973,2.4992,8.51973,2.4992,23.9924,10,1,9.99991,8.51973e-005,9.99982,8.51973e-005
0.100082,8.52428,2.49841,8.52428,2.49841,23.9848,10,1,9.99991,8.52428e-005,9.99982,8.52428e-005
0.100083,8.52882,2.49763,8.52882,2.49763,23.9772,10,1,9.99991,8.52882e-005,9.99982,8.52882e-005
0.100084,8.53337,2.49684,8.53337,2.49684,23.9696,10,1,9.99991,8.53337e-005,9.99982,8.53337e-005
0.100085,8.53791,2.49605,8.53791,2.49605,23.9621,10,1,9.99991,8.53791e-005,9.99982,8.53791e-005
0.100086,8.54246,2.49526,8.54246,2.49526,23.9545,10,1,9.99991,8.54246e-005,9.99982,8.54246e-005
0.100087,8.547,2.49447,8.547,2.49447,23.947,10,1,9.99991,8.547e-005,9.99982,8.547e-005
0.100088,8.55155,2.49369,8.55155,2.49369,23.9394,10,1,9.99991,8.55155e-005,9.99982,8.55155e-005
0.100089,8.55609,2.4929,8.55609,2.4929,23.9318,10,1,9.99991,8.5561e-005,9.99982,8.55609e-005
0.10009,8.56064,2.49211,8.56064,2.49211,23.9243,10,1,9.99991,8.56064e-005,9.99982,8.56064e-005
0.100091,8.55284,2.49349,9.98313e-007,2.49349,23.9375,10,0,-8.55284e-005,23.9376,-23.9376,10.0001
0.100092,8.54196,2.4954,9.98313e-007,2.4954,23.9558,10,0,-8.54196e-005,23.9559,-23.956,10.0001
0.100093,8.53106,2.4973,9.98313e-007,2.4973,23.9741,10,0,-8.53106e-005,23.9742,-23.9743,10.0001
0.100094,8.52016,2.49921,9.98313e-007,2.49921,23.9924,10,0,-8.52016e-005,23.9925,-23.9925,10.0001
0.100095,8.50925,2.5011,9.98313e-007,2.5011,24.0106,10,0,-8.50925e-005,24.0107,-24.0108,10.0001
0.100096,8.49833,2.503,9.98313e-007,2.503,24.0288,10,0,-8.49833e-005,24.0289,-24.029,10.0001
0.100097,8.48741,2.50489,9.98313e-007,2.50489,24.0469,10,0,-8.48741e-005,24.047,-24.0471,10.0001
0.100098,8.47647,2.50678,9.98313e-007,2.50678,24.065,10,0,-8.47647e-005,24.0651,-24.0652,10.0001
0.100099,8.46553,2.50866,9.98313e-007,2.50866,24.0831,10,0,-8.46553e-005,24.0832,-24.0833,10.0001
0.1001,8.45458,2.51054,9.98313e-007,2.51054,24.1011,10,0,-8.45458e-005,24.1012,-24.1013,10.0001
